Name                     ; Reference           ;E(B-V);  log_t
2MASS-GC 1               ; BDCC                ; 6.80 ; 10.10 
2MASS-GC 2               ; Kharchenko+ 2013    ; 1.999; 10.000
AB Dor Assoc             ; BDCC                ;      ;  7.70 
AB Dor Assoc             ; Gagne+ 2018         ;      ;  8.173
ADS 12696 Cl             ; BDCC                ; 0.07 ;  7.70 
AH03 J0748-26.9          ; 2016DAML            ; 0.390;  7.80 
AH03 J0748-26.9          ; 2017AstBu..72..257L ; 0.282;  8.570
AH03 J0822-36.4          ; 2016DAML            ; 0.13 ;  6.95 
AH03 J0822-36.4          ; Kharchenko+ 2013    ; 0.416;  8.915
AH03 J1725-34.4          ; 2016DAML            ; 1.58 ;  6.85 
AH03 J2011+26.7          ; 2016DAML            ; 0.90 ;  7.35 
AM 1                     ; BDCC                ; 0.00 ; 10.00 
AM 1                     ; Baumgart 2021       ; 0.00 ; 10.0414
AM 4                     ; BDCC                ; 0.05 ;  9.95 
AM 4                     ; Baumgart 2021       ; 0.04 ;  9.9542
ASCC 1                   ; 2016DAML            ; 0.16 ;  8.25 
ASCC 1                   ; Kharchenko+ 2013    ; 0.489;  8.406
ASCC 10                  ; 2019 Bossini        ; 0.143;  8.599
ASCC 10                  ; 2020A&A...640A...1C ; 0.197;  8.42
ASCC 10                  ; Dias 2021           ; 0.265;  8.178
ASCC 10                  ; Kharchenko+ 2013    ; 0.100;  8.717
ASCC 100                 ; 2016DAML            ; 0.02 ;  8.01 
ASCC 100                 ; Kharchenko+ 2013    ; 0.021;  7.950
ASCC 101                 ; 2016DAML            ; 0.00 ;  8.52 
ASCC 101                 ; 2019 Bossini        ; 0.017;  8.694
ASCC 101                 ; 2020A&A...640A...1C ; 0.059;  8.69
ASCC 101                 ; Dias 2021           ; 0.049;  8.521
ASCC 101                 ; Kharchenko+ 2013    ; 0.000;  8.620
ASCC 102                 ; 2016DAML            ; 0.00 ;  8.79 
ASCC 102                 ; Kharchenko+ 2013    ; 0.000;  8.890
ASCC 103                 ; Kharchenko+ 2013    ; 0.000;  8.390
ASCC 104                 ; 2016DAML            ; 0.33 ;  7.71 
ASCC 104                 ; Kharchenko+ 2013    ; 0.333;  7.710
ASCC 105                 ; 2016DAML            ; 0.09 ;  8.00 
ASCC 105                 ; 2019 Bossini        ; 0.110;  7.994
ASCC 105                 ; 2020A&A...640A...1C ; 0.128;  7.87
ASCC 105                 ; Dias 2021           ; 0.145;  8.328
ASCC 105                 ; Kharchenko+ 2013    ; 0.104;  7.910
ASCC 106                 ; 2016DAML            ; 0.35 ;  8.42 
